"id","query","name","relevance"
"1","samsung m31","SAMSUNG Galaxy M32 (Light Blue, 64 GB)","2.79"
"2","samsung m31","SAMSUNG Galaxy M32 (Black, 64 GB)","2.78"
"3","samsung m31","SAMSUNG Galaxy A31 (Prism Crush Black, 128 GB)","2.12"
"4","samsung m31","SAMSUNG Galaxy J2 Core (Black, 16 GB)","2.01"
"5","samsung m31","SAMSUNG Galaxy J3 Pro (Gold, 16 GB)","2"
"6","samsung m31","SAMSUNG Galaxy A52s 5G (Awesome Mint, 128 GB)","1.87"
"7","samsung m31","SAMSUNG M01 core (Red, 16 GB)","1.45"
"8","samsung m31","SAMSUNG M01 core (Blue, 16 GB)","1.67"
"9","samsung m31","SAMSUNG Galaxy M31 (Ocean Blue, 128 GB)","3"
"10","samsung m31","SAMSUNG Galaxy M31 (Space Black, 64 GB)","3"
"11","samsung m31","SAMSUNG Galaxy M31 (Ocean Blue, 64 GB)","3"
"12","samsung m31","SAMSUNG Galaxy M31 (Iceberg blue, 128 GB)","3"
"13","samsung m31","SAMSUNG GALAXY M31S (Mirage Black, 128 GB)","2.99"
"14","samsung m31","SAMSUNG Galaxy M31s (Mirage Black, 128 GB)","2.98"
"15","samsung m31","SAMSUNG Galaxy M31 (Space Black, 128 GB)","3"
"16","samsung m31","SAMSUNG Galaxy M31s (Mirage Blue, 128 GB)","2.99"
"17","samsung m31","SAMSUNG Galaxy M31 (Space Black, 128 GB)","3"
"18","samsung m31","SAMSUNG M31s (Mirage Blue, 128 GB)","3"
"19","samsung m31","SAMSUNG M31 Prime (IceBerg Blue, 128 GB)","3"
"20","samsung m31","SAMSUNG M31 Prime (Ocean Blue, 128 GB)","3"
"21","samsung m31","SAMSUNG M31 Prime (Space Black, 128 GB)","3"
"22","samsung m31","SAMSUNG M31 Prime (IceBerg Blue, 64 GB)","3"
"23","samsung m31","SAMSUNG M31 Prime (Ocean Blue, 64 GB)","3"
"24","samsung m31","Samsung Galaxy M33 5G (Deep Ocean Blue, 6GB, 128GB Storage) | 5nm Processor | 6000mAh Battery | Voice Focus | Upto 12GB RAM with RAM Plus ","2.77"
"25","samsung m31","Samsung Galaxy M33 5G (Mystique Green, 6GB, 128GB Storage) | 5nm Processor | 6000mAh Battery | Voice Focus | Upto 12GB RAM with RAM Plus ","2.74"
"26","samsung m31","Samsung Galaxy M32 (Black, 6GB RAM, 128GB Storage) 6 Months Free Screen Replacement for Prime ","2.89"
"27","samsung m31","Samsung Galaxy A03 Black, 4GB RAM, 64GB Storage with No Cost EMI/Additional Exchange Offers ","1.55"
"28","samsung m31","Samsung Galaxy M32 (Light Blue, 4GB RAM, 64GB Storage) 6 Months Free Screen Replacement for Prime ","2.87"
"29","samsung m31","Samsung Galaxy M21 2021 Edition (Arctic Blue, 4GB RAM, 64GB Storage) | FHD+ sAMOLED | 6 Months Free Screen Replacement for Prime (SM-M215GLBDINS) ","2.01"
"30","samsung m31","Samsung Galaxy A03 Blue, 3GB RAM, 32GB Storage with No Cost EMI/Additional Exchange Offers ","1.78"
"31","samsung m31","Samsung Galaxy M32 5G (Slate Black, 6GB RAM, 128GB Storage) ","2.85"
"32","samsung m31","Samsung Galaxy A23 Blue, 6GB RAM, 128GB Storage with No Cost EMI/Additional Exchange Offers ","1.28"
"33","samsung m31","Samsung Galaxy M32 5G (Sky Blue, 6GB RAM, 128GB Storage) ","2.83"
"34","samsung m31","Samsung Galaxy A23 Peach, 6GB RAM, 128GB Storage with No Cost EMI/Additional Exchange Offers ","1.98"
"35","samsung m31","Samsung Galaxy M32 (Light Blue, 6GB RAM, 128GB Storage) 6 Months Free Screen Replacement for Prime ","2.8"
"36","samsung m31","Samsung Galaxy A13 Blue, 4GB RAM, 128GB Storage with No Cost EMI/Additional Exchange Offers ","1.56"
"37","samsung m31","Samsung Galaxy F41 (Fusion Blue, 6GB RAM, 128GB Storage) ","1.67"
"38","samsung m31","Samsung Galaxy A13 Blue, 4GB RAM, 64GB Storage with No Cost EMI/Additional Exchange Offers ","1.22"
"39","samsung m31","Samsung Galaxy M32 (Black, 4GB RAM, 64GB Storage) 6 Months Free Screen Replacement for Prime ","2.79"
"40","samsung m31","Samsung Galaxy A23 Black, 6GB RAM, 128GB Storage with No Cost EMI/Additional Exchange Offers ","1.33"
"41","samsung m31","Redmi Note 11 (Horizon Blue, 6GB RAM, 128GB Storage)|90Hz FHD+ AMOLED Display | QualcommÂ® Snapdragonâ„¢ 680-6nm | Alexa Built-in ","0.98"
